"episode","easy-haze-1327 - _step","easy-haze-1327 - _step__MIN","easy-haze-1327 - _step__MAX","easy-haze-1327 - Cost/True trajectory 0","easy-haze-1327 - Cost/True trajectory 0__MIN","easy-haze-1327 - Cost/True trajectory 0__MAX","drawn-disco-1326 - _step","drawn-disco-1326 - _step__MIN","drawn-disco-1326 - _step__MAX","drawn-disco-1326 - Cost/True trajectory 0","drawn-disco-1326 - Cost/True trajectory 0__MIN","drawn-disco-1326 - Cost/True trajectory 0__MAX","youthful-elevator-1320 - _step","youthful-elevator-1320 - _step__MIN","youthful-elevator-1320 - _step__MAX","youthful-elevator-1320 - Cost/True trajectory 0","youthful-elevator-1320 - Cost/True trajectory 0__MIN","youthful-elevator-1320 - Cost/True trajectory 0__MAX","dry-firefly-1319 - _step","dry-firefly-1319 - _step__MIN","dry-firefly-1319 - _step__MAX","dry-firefly-1319 - Cost/True trajectory 0","dry-firefly-1319 - Cost/True trajectory 0__MIN","dry-firefly-1319 - Cost/True trajectory 0__MAX","sweet-tree-1325 - _step","sweet-tree-1325 - _step__MIN","sweet-tree-1325 - _step__MAX","sweet-tree-1325 - Cost/True trajectory 0","sweet-tree-1325 - Cost/True trajectory 0__MIN","sweet-tree-1325 - Cost/True trajectory 0__MAX","wise-night-1324 - _step","wise-night-1324 - _step__MIN","wise-night-1324 - _step__MAX","wise-night-1324 - Cost/True trajectory 0","wise-night-1324 - Cost/True trajectory 0__MIN","wise-night-1324 - Cost/True trajectory 0__MAX","upbeat-feather-1323 - _step","upbeat-feather-1323 - _step__MIN","upbeat-feather-1323 - _step__MAX","upbeat-feather-1323 - Cost/True trajectory 0","upbeat-feather-1323 - Cost/True trajectory 0__MIN","upbeat-feather-1323 - Cost/True trajectory 0__MAX","helpful-planet-1322 - _step","helpful-planet-1322 - _step__MIN","helpful-planet-1322 - _step__MAX","helpful-planet-1322 - Cost/True trajectory 0","helpful-planet-1322 - Cost/True trajectory 0__MIN","helpful-planet-1322 - Cost/True trajectory 0__MAX","daily-field-1321 - _step","daily-field-1321 - _step__MIN","daily-field-1321 - _step__MAX","daily-field-1321 - Cost/True trajectory 0","daily-field-1321 - Cost/True trajectory 0__MIN","daily-field-1321 - Cost/True trajectory 0__MAX","radiant-lion-1318 - _step","radiant-lion-1318 - _step__MIN","radiant-lion-1318 - _step__MAX","radiant-lion-1318 - Cost/True trajectory 0","radiant-lion-1318 - Cost/True trajectory 0__MIN","radiant-lion-1318 - Cost/True trajectory 0__MAX"
"0","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147"
"1","8006","8006","8006","21.143890145405404","21.143890145405404","21.143890145405404","8006","8006","8006","21.039054965118503","21.039054965118503","21.039054965118503","8006","8006","8006","21.088455519974822","21.088455519974822","21.088455519974822","8006","8006","8006","21.100548163814825","21.100548163814825","21.100548163814825","8006","8006","8006","110.87703733962239","110.87703733962239","110.87703733962239","8006","8006","8006","113.84039320591465","113.84039320591465","113.84039320591465","8006","8006","8006","21.044306618983597","21.044306618983597","21.044306618983597","8006","8006","8006","113.82699653404285","113.82699653404285","113.82699653404285","8006","8006","8006","21.0915825902608","21.0915825902608","21.0915825902608","8006","8006","8006","114.42072625268477","114.42072625268477","114.42072625268477"
"2","16013","16013","16013","20.630793560523745","20.630793560523745","20.630793560523745","16013","16013","16013","20.647615543015448","20.647615543015448","20.647615543015448","16013","16013","16013","20.688841788745137","20.688841788745137","20.688841788745137","16013","16013","16013","20.634950012428046","20.634950012428046","20.634950012428046","16013","16013","16013","20.714602513021816","20.714602513021816","20.714602513021816","16013","16013","16013","20.864826525310217","20.864826525310217","20.864826525310217","16013","16013","16013","20.642977226034787","20.642977226034787","20.642977226034787","16013","16013","16013","20.746899200567555","20.746899200567555","20.746899200567555","16013","16013","16013","20.622405954669013","20.622405954669013","20.622405954669013","16013","16013","16013","20.578147823892806","20.578147823892806","20.578147823892806"
"3","24020","24020","24020","20.50368072087391","20.50368072087391","20.50368072087391","24020","24020","24020","20.556997408835674","20.556997408835674","20.556997408835674","24020","24020","24020","20.60367618180346","20.60367618180346","20.60367618180346","24020","24020","24020","20.522429815683264","20.522429815683264","20.522429815683264","24020","24020","24020","20.522794192760067","20.522794192760067","20.522794192760067","24020","24020","24020","20.503017022577033","20.503017022577033","20.503017022577033","24020","24020","24020","20.528754231453856","20.528754231453856","20.528754231453856","24020","24020","24020","20.41858532356811","20.41858532356811","20.41858532356811","24020","24020","24020","20.518528768004494","20.518528768004494","20.518528768004494","24020","24020","24020","20.424445007061813","20.424445007061813","20.424445007061813"
"4","32027","32027","32027","20.44859951729874","20.44859951729874","20.44859951729874","32027","32027","32027","20.467332010252946","20.467332010252946","20.467332010252946","32027","32027","32027","20.52124520562119","20.52124520562119","20.52124520562119","32027","32027","32027","20.50293360759138","20.50293360759138","20.50293360759138","32027","32027","32027","20.47415662731933","20.47415662731933","20.47415662731933","32027","32027","32027","20.432252817704455","20.432252817704455","20.432252817704455","32027","32027","32027","20.48658581636481","20.48658581636481","20.48658581636481","32027","32027","32027","20.360221483139853","20.360221483139853","20.360221483139853","32027","32027","32027","20.471692542450317","20.471692542450317","20.471692542450317","32027","32027","32027","20.396617844124766","20.396617844124766","20.396617844124766"
"5","40034","40034","40034","20.411987088324665","20.411987088324665","20.411987088324665","40034","40034","40034","20.42890638359505","20.42890638359505","20.42890638359505","40034","40034","40034","20.4497102534418","20.4497102534418","20.4497102534418","40034","40034","40034","20.449700674325623","20.449700674325623","20.449700674325623","40034","40034","40034","20.464905785803587","20.464905785803587","20.464905785803587","40034","40034","40034","20.40999068249149","20.40999068249149","20.40999068249149","40034","40034","40034","20.46402530249971","20.46402530249971","20.46402530249971","40034","40034","40034","20.344675846159838","20.344675846159838","20.344675846159838","40034","40034","40034","20.452330049950337","20.452330049950337","20.452330049950337","40034","40034","40034","20.385805477941496","20.385805477941496","20.385805477941496"
"6","48041","48041","48041","20.388311476102064","20.388311476102064","20.388311476102064","48041","48041","48041","20.407171061819646","20.407171061819646","20.407171061819646","48041","48041","48041","20.417989323106433","20.417989323106433","20.417989323106433","48041","48041","48041","20.431751438807918","20.431751438807918","20.431751438807918","48041","48041","48041","20.466483839296615","20.466483839296615","20.466483839296615","48041","48041","48041","20.400097194972357","20.400097194972357","20.400097194972357","48041","48041","48041","20.435884240660258","20.435884240660258","20.435884240660258","48041","48041","48041","20.339591063496187","20.339591063496187","20.339591063496187","48041","48041","48041","20.433321330977265","20.433321330977265","20.433321330977265","48041","48041","48041","20.397552620542598","20.397552620542598","20.397552620542598"
"7","56048","56048","56048","20.37930779109894","20.37930779109894","20.37930779109894","56048","56048","56048","20.38633184690358","20.38633184690358","20.38633184690358","56048","56048","56048","20.394501884378595","20.394501884378595","20.394501884378595","56048","56048","56048","20.393574194031675","20.393574194031675","20.393574194031675","56048","56048","56048","20.46427308452927","20.46427308452927","20.46427308452927","56048","56048","56048","20.390200372095602","20.390200372095602","20.390200372095602","56048","56048","56048","20.41438767296712","20.41438767296712","20.41438767296712","56048","56048","56048","20.336910061701683","20.336910061701683","20.336910061701683","56048","56048","56048","20.42140111417319","20.42140111417319","20.42140111417319","56048","56048","56048","20.38855315474458","20.38855315474458","20.38855315474458"
"8","64055","64055","64055","20.360836993001588","20.360836993001588","20.360836993001588","64055","64055","64055","20.37694887977366","20.37694887977366","20.37694887977366","64055","64055","64055","20.372946211202013","20.372946211202013","20.372946211202013","64055","64055","64055","20.38071439822339","20.38071439822339","20.38071439822339","64055","64055","64055","20.46510574691568","20.46510574691568","20.46510574691568","64055","64055","64055","20.380890885482984","20.380890885482984","20.380890885482984","64055","64055","64055","20.400412155964755","20.400412155964755","20.400412155964755","64055","64055","64055","20.341565821531198","20.341565821531198","20.341565821531198","64055","64055","64055","20.394644334307507","20.394644334307507","20.394644334307507","64055","64055","64055","20.395426790586512","20.395426790586512","20.395426790586512"
"9","72062","72062","72062","20.353069901404357","20.353069901404357","20.353069901404357","72062","72062","72062","20.363038101488538","20.363038101488538","20.363038101488538","72062","72062","72062","20.350972426790687","20.350972426790687","20.350972426790687","72062","72062","72062","20.36322084631809","20.36322084631809","20.36322084631809","72062","72062","72062","20.459638272580104","20.459638272580104","20.459638272580104","72062","72062","72062","20.369607599332195","20.369607599332195","20.369607599332195","72062","72062","72062","20.385014672346145","20.385014672346145","20.385014672346145","72062","72062","72062","20.32963241821208","20.32963241821208","20.32963241821208","72062","72062","72062","20.379603732768516","20.379603732768516","20.379603732768516","72062","72062","72062","20.383004567025335","20.383004567025335","20.383004567025335"
