"episode","distinctive-lion-1313 - _step","distinctive-lion-1313 - _step__MIN","distinctive-lion-1313 - _step__MAX","distinctive-lion-1313 - Cost/True trajectory 0","distinctive-lion-1313 - Cost/True trajectory 0__MIN","distinctive-lion-1313 - Cost/True trajectory 0__MAX","twilight-smoke-1314 - _step","twilight-smoke-1314 - _step__MIN","twilight-smoke-1314 - _step__MAX","twilight-smoke-1314 - Cost/True trajectory 0","twilight-smoke-1314 - Cost/True trajectory 0__MIN","twilight-smoke-1314 - Cost/True trajectory 0__MAX","eternal-haze-1311 - _step","eternal-haze-1311 - _step__MIN","eternal-haze-1311 - _step__MAX","eternal-haze-1311 - Cost/True trajectory 0","eternal-haze-1311 - Cost/True trajectory 0__MIN","eternal-haze-1311 - Cost/True trajectory 0__MAX","genial-sound-1312 - _step","genial-sound-1312 - _step__MIN","genial-sound-1312 - _step__MAX","genial-sound-1312 - Cost/True trajectory 0","genial-sound-1312 - Cost/True trajectory 0__MIN","genial-sound-1312 - Cost/True trajectory 0__MAX","winter-silence-1315 - _step","winter-silence-1315 - _step__MIN","winter-silence-1315 - _step__MAX","winter-silence-1315 - Cost/True trajectory 0","winter-silence-1315 - Cost/True trajectory 0__MIN","winter-silence-1315 - Cost/True trajectory 0__MAX","bright-firefly-1304 - _step","bright-firefly-1304 - _step__MIN","bright-firefly-1304 - _step__MAX","bright-firefly-1304 - Cost/True trajectory 0","bright-firefly-1304 - Cost/True trajectory 0__MIN","bright-firefly-1304 - Cost/True trajectory 0__MAX","fragrant-lake-1304 - _step","fragrant-lake-1304 - _step__MIN","fragrant-lake-1304 - _step__MAX","fragrant-lake-1304 - Cost/True trajectory 0","fragrant-lake-1304 - Cost/True trajectory 0__MIN","fragrant-lake-1304 - Cost/True trajectory 0__MAX","restful-morning-1302 - _step","restful-morning-1302 - _step__MIN","restful-morning-1302 - _step__MAX","restful-morning-1302 - Cost/True trajectory 0","restful-morning-1302 - Cost/True trajectory 0__MIN","restful-morning-1302 - Cost/True trajectory 0__MAX","smooth-frog-1306 - _step","smooth-frog-1306 - _step__MIN","smooth-frog-1306 - _step__MAX","smooth-frog-1306 - Cost/True trajectory 0","smooth-frog-1306 - Cost/True trajectory 0__MIN","smooth-frog-1306 - Cost/True trajectory 0__MAX","clean-cherry-1306 - _step","clean-cherry-1306 - _step__MIN","clean-cherry-1306 - _step__MAX","clean-cherry-1306 - Cost/True trajectory 0","clean-cherry-1306 - Cost/True trajectory 0__MIN","clean-cherry-1306 - Cost/True trajectory 0__MAX"
"0","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147","0","0","0","368.70019883899147","368.70019883899147","368.70019883899147"
"1","8006","8006","8006","21.143890145405404","21.143890145405404","21.143890145405404","8006","8006","8006","21.088455519974822","21.088455519974822","21.088455519974822","8006","8006","8006","21.0915825902608","21.0915825902608","21.0915825902608","8006","8006","8006","21.100548163814825","21.100548163814825","21.100548163814825","8006","8006","8006","114.42072625268477","114.42072625268477","114.42072625268477","8006","8006","8006","110.87703733962239","110.87703733962239","110.87703733962239","8006","8006","8006","113.84039320591465","113.84039320591465","113.84039320591465","8006","8006","8006","21.039054965118503","21.039054965118503","21.039054965118503","8006","8006","8006","113.82699653404285","113.82699653404285","113.82699653404285","8006","8006","8006","21.044306618983597","21.044306618983597","21.044306618983597"
"2","16013","16013","16013","20.62027334644595","20.62027334644595","20.62027334644595","16013","16013","16013","20.652061244505415","20.652061244505415","20.652061244505415","16013","16013","16013","20.650489695288016","20.650489695288016","20.650489695288016","16013","16013","16013","20.590110098840036","20.590110098840036","20.590110098840036","16013","16013","16013","20.74064158964717","20.74064158964717","20.74064158964717","16013","16013","16013","21.21833593793865","21.21833593793865","21.21833593793865","16013","16013","16013","21.440385988978157","21.440385988978157","21.440385988978157","16013","16013","16013","20.639995751685944","20.639995751685944","20.639995751685944","16013","16013","16013","20.89471677788143","20.89471677788143","20.89471677788143","16013","16013","16013","20.651943010928697","20.651943010928697","20.651943010928697"
"3","24020","24020","24020","20.368339260573784","20.368339260573784","20.368339260573784","24020","24020","24020","20.36189453565899","20.36189453565899","20.36189453565899","24020","24020","24020","20.376581514092344","20.376581514092344","20.376581514092344","24020","24020","24020","20.366875987249568","20.366875987249568","20.366875987249568","24020","24020","24020","20.370687494762887","20.370687494762887","20.370687494762887","24020","24020","24020","20.476102326645407","20.476102326645407","20.476102326645407","24020","24020","24020","20.581754480659235","20.581754480659235","20.581754480659235","24020","24020","24020","20.385670348563988","20.385670348563988","20.385670348563988","24020","24020","24020","20.379523901292753","20.379523901292753","20.379523901292753","24020","24020","24020","20.415223882402174","20.415223882402174","20.415223882402174"
"4","32027","32027","32027","20.30628307099131","20.30628307099131","20.30628307099131","32027","32027","32027","20.278506585638617","20.278506585638617","20.278506585638617","32027","32027","32027","20.313496516985033","20.313496516985033","20.313496516985033","32027","32027","32027","20.29123948632754","20.29123948632754","20.29123948632754","32027","32027","32027","20.307476476114037","20.307476476114037","20.307476476114037","32027","32027","32027","20.334590211751173","20.334590211751173","20.334590211751173","32027","32027","32027","20.372377634927968","20.372377634927968","20.372377634927968","32027","32027","32027","20.304128261750854","20.304128261750854","20.304128261750854","32027","32027","32027","20.29614880454171","20.29614880454171","20.29614880454171","32027","32027","32027","20.33306999977335","20.33306999977335","20.33306999977335"
"5","40034","40034","40034","20.256746223078032","20.256746223078032","20.256746223078032","40034","40034","40034","20.250792136453388","20.250792136453388","20.250792136453388","40034","40034","40034","20.275729856110914","20.275729856110914","20.275729856110914","40034","40034","40034","20.249497242704233","20.249497242704233","20.249497242704233","40034","40034","40034","20.27807807977216","20.27807807977216","20.27807807977216","40034","40034","40034","20.295542083255977","20.295542083255977","20.295542083255977","40034","40034","40034","20.308777575833133","20.308777575833133","20.308777575833133","40034","40034","40034","20.272253317146575","20.272253317146575","20.272253317146575","40034","40034","40034","20.274059381030913","20.274059381030913","20.274059381030913","40034","40034","40034","20.273355187261522","20.273355187261522","20.273355187261522"
"6","48041","48041","48041","20.244772972967144","20.244772972967144","20.244772972967144","48041","48041","48041","20.2467268758025","20.2467268758025","20.2467268758025","48041","48041","48041","20.265745174747902","20.265745174747902","20.265745174747902","48041","48041","48041","20.24428564713715","20.24428564713715","20.24428564713715","48041","48041","48041","20.271416171511596","20.271416171511596","20.271416171511596","48041","48041","48041","20.281896944337415","20.281896944337415","20.281896944337415","48041","48041","48041","20.288294153993007","20.288294153993007","20.288294153993007","48041","48041","48041","20.257724138718842","20.257724138718842","20.257724138718842","48041","48041","48041","20.268256888222368","20.268256888222368","20.268256888222368","48041","48041","48041","20.259600660434877","20.259600660434877","20.259600660434877"
"7","56048","56048","56048","20.226989919414557","20.226989919414557","20.226989919414557","56048","56048","56048","20.233440255368382","20.233440255368382","20.233440255368382","56048","56048","56048","20.250736741183076","20.250736741183076","20.250736741183076","56048","56048","56048","20.227714579554064","20.227714579554064","20.227714579554064","56048","56048","56048","20.26071756625145","20.26071756625145","20.26071756625145","56048","56048","56048","20.266661504015847","20.266661504015847","20.266661504015847","56048","56048","56048","20.270034310887212","20.270034310887212","20.270034310887212","56048","56048","56048","20.235734704939127","20.235734704939127","20.235734704939127","56048","56048","56048","20.255455694447406","20.255455694447406","20.255455694447406","56048","56048","56048","20.240895520662626","20.240895520662626","20.240895520662626"
"8","64055","64055","64055","20.222391603120556","20.222391603120556","20.222391603120556","64055","64055","64055","20.231334204336967","20.231334204336967","20.231334204336967","64055","64055","64055","20.237570405495617","20.237570405495617","20.237570405495617","64055","64055","64055","20.220981560841143","20.220981560841143","20.220981560841143","64055","64055","64055","20.25660299904749","20.25660299904749","20.25660299904749","64055","64055","64055","20.264942910432804","20.264942910432804","20.264942910432804","64055","64055","64055","20.263849777500365","20.263849777500365","20.263849777500365","64055","64055","64055","20.23051291214259","20.23051291214259","20.23051291214259","64055","64055","64055","20.253266214890555","20.253266214890555","20.253266214890555","64055","64055","64055","20.237632648247207","20.237632648247207","20.237632648247207"
"9","72062","72062","72062","20.2101699054623","20.2101699054623","20.2101699054623","72062","72062","72062","20.226475323107433","20.226475323107433","20.226475323107433","72062","72062","72062","20.226473885541047","20.226473885541047","20.226473885541047","72062","72062","72062","20.213328379353623","20.213328379353623","20.213328379353623","72062","72062","72062","20.24988035997823","20.24988035997823","20.24988035997823","72062","72062","72062","20.253631121488038","20.253631121488038","20.253631121488038","72062","72062","72062","20.2548170920238","20.2548170920238","20.2548170920238","72062","72062","72062","20.217997610761298","20.217997610761298","20.217997610761298","72062","72062","72062","20.247831248246708","20.247831248246708","20.247831248246708","72062","72062","72062","20.224598930993675","20.224598930993675","20.224598930993675"
